,LACUP<-!GLCxt_b & !LCTSxt_b,LACUP<-!LCTSxt_b,LACUP<-!GLCxt_b
ArcA,20,40,40
Cra,20,40,40
DcuR,20,40,40
DcuS,20,40,40
FadR,20,40,40
Fnr,20,40,40
GalR,20,40,40
GalS,20,40,40
IclR,20,40,40
Lacl,20,40,40
Mlc,20,40,40
PdhR,20,40,40
aceA,20,40,40
aceB,20,40,40
aceEF,20,40,40
acnA,20,40,40
acnB,20,40,40
acs,20,40,40
adhE,20,40,40
cyoABCD,20,40,40
dctA,20,40,40
dcuB,20,40,40
dcuC,20,40,40
fdnGHI,20,40,40
focA,20,40,40
frdABCD,20,40,40
fumA,20,40,40
fumB,20,40,40
galE,20,40,40
galK,20,40,40
galM,20,40,40
galP,20,40,40
galT,20,40,40
glpABC,20,40,40
glpD,20,40,40
glpF,20,40,40
glpK,20,40,40
lacZ,20,40,40
lpdA,20,40,40
mdh,20,40,40
ndh,20,40,40
pflAB,20,40,40
pflCD,20,40,40
pgk,20,40,40
ppsA,20,40,40
ptsGHI,20,40,40
pykF,20,40,40
rbsABCD,20,40,40
rbsK,20,40,40
rpiB,20,40,40
sdhABCD,20,40,40
sucAB,20,40,40
LACUP,25,50,50
