mapping,frequency,exclusive,inclusive
ArcA<-1,1.00000,,
Cra<-!SurplusFDP,1.00000,,
DcuR<-DcuS,1.00000,,
DcuS<-SUCCxt_b,1.00000,,
FadR<-GLCxt_b,1.00000,,
Fnr<-1,1.00000,,
GalR<-1,1.00000,,
GalS<-1,1.00000,,
GlpR<-1,1.00000,,
IclR<-FadR,1.00000,,
LACUP<-1,0.50000,LACUP<-!GLCxt_b,
LACUP<-!GLCxt_b,0.50000,LACUP<-1,
Lacl<-1,1.00000,,
Mlc<-!GLCxt_b,1.00000,,
PdhR<-!SurplusPYR,1.00000,,
RbsR<-1,1.00000,,
RpiR<-1,1.00000,,
SurplusF6P<-1,1.00000,,
SurplusFDP<-1,1.00000,,
SurplusPYR<-1,1.00000,,
aceA<-!IclR,1.00000,,
aceB<-!ArcA,1.00000,,
aceEF<-!PdhR,1.00000,,
acnA<-1,1.00000,,
acnB<-1,1.00000,,
acs<-!ETHxt_b,1.00000,,
adhE<-1,1.00000,,
cydAB<-1,1.00000,,
cyoABCD<-!Fnr,0.50000,cyoABCD<-!ArcA,
cyoABCD<-!ArcA,0.50000,cyoABCD<-!Fnr,
dctA<-!ArcA,1.00000,,
dcuB<-DcuR,1.00000,,
dcuC<-1,1.00000,,
fdnGHI<-1,1.00000,,
focA<-1,1.00000,,
frdABCD<-1,1.00000,,
fumA<-!Fnr,0.50000,fumA<-!ArcA,
fumA<-!ArcA,0.50000,fumA<-!Fnr,
fumB<-1,1.00000,,
galE<-!GalR,0.50000,galE<-!GalS,
galE<-!GalS,0.50000,galE<-!GalR,
galK<-!GalR,0.50000,galK<-!GalS,
galK<-!GalS,0.50000,galK<-!GalR,
galM<-!GalR,0.50000,galM<-!GalS,
galM<-!GalS,0.50000,galM<-!GalR,
galP<-1,1.00000,,
galT<-!GalR,0.50000,galT<-!GalS,
galT<-!GalS,0.50000,galT<-!GalR,
glpABC<-!GlpR,1.00000,,
glpD<-!GlpR,0.50000,glpD<-!ArcA,
glpD<-!ArcA,0.50000,glpD<-!GlpR,
glpF<-!GlpR,1.00000,,
glpK<-!GlpR,1.00000,,
lacZ<-!Lacl,1.00000,,
lpdA<-!PdhR,1.00000,,
mdh<-!ArcA,1.00000,,
ndh<-!Fnr,1.00000,,
pflAB<-1,1.00000,,
pflCD<-1,1.00000,,
pgk<-1,1.00000,,
ppsA<-Cra,1.00000,,
ptsGHI<-1,1.00000,,
pykF<-!Cra,1.00000,,
rbsABCD<-!RbsR,1.00000,,
rbsK<-!RbsR,1.00000,,
rpiB<-!RpiR,1.00000,,
sdhABCD<-!Fnr,0.50000,sdhABCD<-!ArcA,
sdhABCD<-!ArcA,0.50000,sdhABCD<-!Fnr,
sucAB<-!PdhR,1.00000,,
